 ,Label,Area,Mean,Mode,MinThr,MaxThr
1,leaves 1 2-[Cy5].tif:1626-1745,2.675,17578.860,25339,0,26000
2,leaves 1 2-[Cy5].tif:1641-1985,2.716,19333.518,18824,0,26000
3,leaves 1 2-[Cy5].tif:1776-1781,2.871,20114.592,22824,0,26000
4,leaves 1 2-[Cy5].tif:1803-1970,3.050,20108.320,20555,0,26000
5,leaves 1 2-[Cy5].tif:1638-1250,2.850,19819.627,20512,0,26000
6,leaves 1 2-[Cy5].tif:1689-1466,2.788,20732.507,20383,0,26000
7,leaves 1 2-[Cy5].tif:1794-1244,2.695,22710.202,23996,0,26000
8,leaves 1 2-[Cy5].tif:1827-1424,3.196,21518.531,21794,0,26000
9,leaves 1 2-[Cy5].tif:1668-0728,3.270,20701.779,19797,0,26000
10,leaves 1 2-[Cy5].tif:1668-0938,3.328,20028.722,21153,0,26000
11,leaves 1 2-[Cy5].tif:1803-0749,2.616,22243.958,22756,0,26000
12,leaves 1 2-[Cy5].tif:1791-0926,3.030,20884.917,19627,0,26000
13,leaves 1 2-[Cy5].tif:1650-0191,2.798,16870.478,20509,0,26000
14,leaves 1 2-[Cy5].tif:1671-0434,2.852,22718.917,23512,0,26000
15,leaves 1 2-[Cy5].tif:1800-0221,2.878,21923.334,21509,0,26000
16,leaves 1 2-[Cy5].tif:1824-0407,2.696,21555.972,24026,0,26000
17,leaves 1 2-[Cy5].tif:1140-1817,2.873,20918.419,20942,0,26000
18,leaves 1 2-[Cy5].tif:1176-2036,3.004,18226.671,16181,0,26000
19,leaves 1 2-[Cy5].tif:1302-1835,3.224,15151.463,19576,0,26000
20,leaves 1 2-[Cy5].tif:1341-2030,2.921,17430.220,16181,0,26000
21,leaves 1 2-[Cy5].tif:1071-1268,2.742,21254.165,19272,0,26000
22,leaves 1 2-[Cy5].tif:1116-1487,3.087,22126.584,23066,0,26000
23,leaves 1 2-[Cy5].tif:1281-1250,2.697,13205.263,23262,0,26000
24,leaves 1 2-[Cy5].tif:1302-1478,3.175,13055.988,17326,0,26000
25,leaves 1 2-[Cy5].tif:1227-0743,2.783,17331.456,21086,0,26000
26,leaves 1 2-[Cy5].tif:1239-0941,3.194,21401.792,20883,0,26000
27,leaves 1 2-[Cy5].tif:1362-0746,2.972,14676.580,19759,0,26000
28,leaves 1 2-[Cy5].tif:1392-0929,2.130,12569.424,19804,0,26000
29,leaves 1 2-[Cy5].tif:1167-0200,2.945,14126.447,23674,0,26000
30,leaves 1 2-[Cy5].tif:1152-0416,2.657,19389.149,21721,0,26000
31,leaves 1 2-[Cy5].tif:1332-0233,3.201,7597.648,5080,0,26000
32,leaves 1 2-[Cy5].tif:1365-0395,3.131,16995.753,18761,0,26000
33,leaves 1 2-[Cy5].tif:1896-1889,3.261,7208.258,2433,0,26000
34,leaves 1 2-[Cy5].tif:1917-1328,2.592,9659.468,243,0,26000
35,leaves 1 2-[Cy5].tif:1887-0845,3.196,16544.339,22889,0,26000
36,leaves 1 2-[Cy5].tif:1917-0302,2.650,8546.750,2071,0,26000
37,leaves 1 2-[Cy5].tif:1413-1928,3.272,12181.506,2314,0,26000
38,leaves 1 2-[Cy5].tif:1395-1370,2.860,11660.565,2620,0,26000
39,leaves 1 2-[Cy5].tif:1470-0836,2.912,12019.429,18666,0,26000
40,leaves 1 2-[Cy5].tif:1434-0299,2.853,9573.848,4324,0,26000
