 ,Label,Area,Mean,Mode,MinThr,MaxThr
1,20190403 leaves1 1'-[Cy5].tif:0189-0342,3.442,20873.522,20916,0,26000
2,20190403 leaves1 1'-[Cy5].tif:0270-0651,2.480,18011.684,17141,0,26000
3,20190403 leaves1 1'-[Cy5].tif:0423-0303,2.914,21681.463,23537,0,26000
4,20190403 leaves1 1'-[Cy5].tif:0504-0639,2.498,19661.532,20766,0,26000
5,20190403 leaves1 1'-[Cy5].tif:0222-1125,3.929,17589.294,18814,0,26000
6,20190403 leaves1 1'-[Cy5].tif:0348-1476,2.996,17591.119,16399,0,26000
7,20190403 leaves1 1'-[Cy5].tif:0471-1107,3.668,12197.062,8752,0,26000
8,20190403 leaves1 1'-[Cy5].tif:0564-1410,3.447,17934.214,19432,0,26000
9,20190403 leaves1 1'-[Cy5].tif:0792-1659,1.222,21839.285,21990,0,26000
10,20190403 leaves1 1'-[Cy5].tif:0801-2058,3.842,16681.991,13696,0,26000
11,20190403 leaves1 1'-[Cy5].tif:1050-1668,3.067,15037.471,22760,0,26000
12,20190403 leaves1 1'-[Cy5].tif:1107-1980,4.028,7235.114,5167,0,26000
13,20190403 leaves1 1'-[Cy5].tif:0912-0867,2.597,19879.978,21441,0,26000
14,20190403 leaves1 1'-[Cy5].tif:0984-1170,3.164,20416.047,19130,0,26000
15,20190403 leaves1 1'-[Cy5].tif:1134-0867,3.372,10678.860,3869,0,26000
16,20190403 leaves1 1'-[Cy5].tif:1215-1161,3.751,10372.724,7830,0,26000
17,20190403 leaves1 1'-[Cy5].tif:1047-0186,3.796,11605.515,3510,0,26000
18,20190403 leaves1 1'-[Cy5].tif:0942-0495,3.505,16091.176,14171,0,26000
19,20190403 leaves1 1'-[Cy5].tif:1188-0252,3.280,19874.502,18930,0,26000
20,20190403 leaves1 1'-[Cy5].tif:1146-0501,2.154,19565.419,20148,0,26000
21,20190403 leaves1 1'-[Cy5].tif:1473-1794,2.978,16107.890,25442,0,26000
22,20190403 leaves1 1'-[Cy5].tif:1494-2163,2.754,17531.610,13034,0,26000
23,20190403 leaves1 1'-[Cy5].tif:1740-1830,3.375,19063.011,17835,0,26000
24,20190403 leaves1 1'-[Cy5].tif:1785-2103,2.890,15869.196,14291,0,26000
25,20190403 leaves1 1'-[Cy5].tif:1608-0891,3.868,17389.103,15849,0,26000
26,20190403 leaves1 1'-[Cy5].tif:1614-1146,4.108,18646.689,18363,0,26000
27,20190403 leaves1 1'-[Cy5].tif:1764-0903,4.128,17915.839,16068,0,26000
28,20190403 leaves1 1'-[Cy5].tif:1767-1122,2.706,20010.280,18031,0,26000
29,20190403 leaves1 1'-[Cy5].tif:1581-0225,2.788,20710.398,19693,0,26000
30,20190403 leaves1 1'-[Cy5].tif:1605-0531,4.010,16872.925,16477,0,26000
31,20190403 leaves1 1'-[Cy5].tif:1791-0234,3.180,20853.858,18402,0,26000
32,20190403 leaves1 1'-[Cy5].tif:1779-0510,2.928,19094.445,15310,0,26000
33,20190403 leaves1 1'-[Cy5].tif:0618-0417,3.970,14836.700,17491,0,26000
34,20190403 leaves1 1'-[Cy5].tif:0657-1227,3.794,13200.712,18662,0,26000
35,20190403 leaves1 1'-[Cy5].tif:1194-1833,3.836,6917.373,2551,0,26000
36,20190403 leaves1 1'-[Cy5].tif:1323-1035,3.682,12787.601,7585,0,26000
37,20190403 leaves1 1'-[Cy5].tif:1254-0372,3.920,11822.244,16376,0,26000
38,20190403 leaves1 1'-[Cy5].tif:1902-1992,3.378,11993.010,14164,0,26000
39,20190403 leaves1 1'-[Cy5].tif:1863-1023,4.162,7366.236,6366,0,26000
40,20190403 leaves1 1'-[Cy5].tif:1902-0366,3.873,14071.470,18486,0,26000
